ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,Age_Group,major_city,state
28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1,40-49,Los Angeles,CA
29,56,30,48,94539,1,2.2,3,0,0,0,0,1,1,50-59,Fremont,CA
30,38,13,119,94104,1,3.3,2,0,1,0,1,1,1,30-39,San Francisco,CA
31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0,50-59,Santa Barbara,CA
32,40,16,29,94117,1,2.0,2,0,0,0,0,1,0,40-49,San Francisco,CA
33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0,50-59,Richmond,CA
34,30,6,18,91330,3,0.9,3,0,0,0,0,0,0,30-39,Northridge,CA
35,31,5,50,94035,4,1.8,3,0,0,0,0,1,0,30-39,Mountain View,CA
36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0,40-49,Huntington Beach,CA
37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1,50-59,Berkeley,CA
38,51,25,71,95814,1,1.4,3,198,0,0,0,0,0,50-59,Sacramento,CA
39,42,18,141,94114,3,5.0,3,0,1,1,1,1,0,40-49,San Francisco,CA
40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0,30-39,San Francisco,CA
41,57,32,84,92672,3,1.6,3,0,0,1,0,0,0,50-59,San Clemente,CA
42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0,30-39,San Francisco,CA
43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0,30-39,Los Angeles,CA
44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0,30-39,Davis,CA
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1,40-49,Redwood City,CA
46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1,50-59,Berkeley,CA
47,39,14,43,95014,3,0.7,2,153,0,0,0,1,0,30-39,Cupertino,CA
48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1,30-39,Santa Clarita,CA
49,56,26,81,95747,2,4.5,3,0,0,0,0,0,1,50-59,Roseville,CA
50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1,40-49,Redlands,CA
51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0,30-39,La Jolla,CA
52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0,60-69,Berkeley,CA
53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0,30-39,Brisbane,CA
54,50,26,190,90245,3,2.1,3,240,1,0,0,1,0,50-59,El Segundo,CA
55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0,20-29,Sacramento,CA
56,41,17,139,94022,2,8.0,1,0,0,0,0,1,0,40-49,Los Altos,CA
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0,50-59,Brisbane,CA
58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0,50-59,Davis,CA
59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0,20-29,Redwood City,CA
60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0,30-39,Newbury Park,CA
61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0,40-49,Santa Monica,CA
62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0,40-49,San Luis Obispo,CA
63,42,18,22,90089,1,1.0,1,0,0,0,0,0,0,40-49,Los Angeles,CA
64,42,17,32,94523,4,0.0,2,0,0,0,0,1,0,40-49,Pleasant Hill,CA
65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0,40-49,Los Angeles,CA
66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1,50-59,Thousand Oaks,CA
67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0,60-69,Rancho Cordova,CA
68,53,23,45,95123,4,2.0,3,132,0,1,0,0,0,50-59,San Jose,CA
69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1,40-49,San Luis Obispo,CA
70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0,50-59,Los Angeles,CA
71,42,18,115,91335,1,3.5,1,0,0,0,0,0,1,40-49,Reseda,CA
72,53,29,69,93907,4,1.0,2,0,0,0,0,1,0,50-59,Salinas,CA
73,44,20,130,92007,1,5.0,1,0,0,0,0,0,1,40-49,Cardiff By The Sea,CA
74,41,16,85,94606,1,4.0,3,0,0,0,0,1,1,40-49,Oakland,CA
75,28,3,135,94611,2,3.3,1,0,0,0,0,0,1,20-29,Oakland,CA
76,31,7,135,94901,4,3.8,2,0,1,0,1,1,1,30-39,San Rafael,CA
77,58,32,12,91320,3,0.3,3,0,0,0,0,0,0,50-59,Newbury Park,CA
78,46,20,29,92220,3,0.5,2,0,0,0,0,0,0,40-49,Banning,CA
79,54,30,133,93305,2,2.6,3,0,1,0,0,0,0,50-59,Bakersfield,CA
80,50,26,19,94720,2,0.4,1,118,0,0,0,1,0,50-59,Berkeley,CA
81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1,60-69,San Jose,CA
82,47,22,40,94612,3,2.7,2,0,0,0,0,1,0,40-49,Oakland,CA
83,41,16,82,92507,1,4.0,3,0,0,0,0,1,0,40-49,Riverside,CA
84,33,9,50,94305,1,2.4,2,0,0,0,0,0,0,30-39,Stanford,CA
85,46,22,18,91730,1,0.9,3,0,0,0,0,1,0,40-49,Rancho Cucamonga,CA
86,27,2,109,94005,4,1.8,3,0,0,0,0,0,0,20-29,Brisbane,CA
87,40,16,42,94501,4,2.2,2,126,0,0,0,0,0,40-49,Alameda,CA
88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0,40-49,Stanford,CA
89,65,41,51,94117,2,1.1,1,0,0,0,0,1,0,60-69,San Francisco,CA
90,25,2,113,94303,4,2.3,3,0,0,0,0,0,1,20-29,Palo Alto,CA
91,55,30,118,90277,4,5.6,2,0,1,0,0,1,0,50-59,Redondo Beach,CA
92,35,10,29,94105,4,1.1,3,0,0,0,0,1,0,30-39,San Francisco,CA
93,43,19,34,94305,3,0.6,2,0,0,0,0,0,0,40-49,Stanford,CA
94,60,34,64,94550,2,1.7,3,236,0,1,0,1,0,60-69,Livermore,CA
95,65,39,121,92612,1,2.0,1,0,0,0,0,0,0,60-69,Irvine,CA
96,38,12,48,95617,4,0.2,3,0,0,0,0,1,0,30-39,Davis,CA
97,41,15,80,95014,1,5.2,1,0,0,0,0,0,0,40-49,Cupertino,CA
98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0,50-59,San Diego,CA
99,49,23,94,92374,1,0.3,1,0,0,0,0,1,0,40-49,Redlands,CA
100,66,41,15,91711,3,0.1,3,0,0,0,0,1,0,60-69,Claremont,CA
101,48,23,74,94080,1,1.2,1,0,0,0,0,1,0,40-49,South San Francisco,CA
102,61,36,30,94608,3,1.3,2,0,0,0,0,0,0,60-69,Emeryville,CA
103,53,23,44,93555,3,1.0,3,198,0,0,0,1,1,50-59,Ridgecrest,CA
104,43,18,22,95670,2,0.3,2,0,0,0,0,1,0,40-49,Rancho Cordova,CA
105,56,32,38,93311,4,1.3,1,166,0,0,0,1,1,50-59,Bakersfield,CA
106,24,0,35,94704,3,0.1,2,0,0,1,0,1,0,20-29,Berkeley,CA
107,43,17,69,92717,4,2.9,1,0,0,0,0,1,1,40-49,Unknown City,Unknown State
108,42,18,43,92037,1,0.7,1,136,0,0,0,0,0,40-49,La Jolla,CA
109,33,7,32,95136,1,0.6,3,166,0,0,0,1,0,30-39,San Jose,CA
110,43,17,49,94542,1,2.8,1,0,0,0,0,1,0,40-49,Hayward,CA
111,41,14,9,91330,3,1.0,2,0,0,0,0,0,0,40-49,Northridge,CA
112,62,38,45,94143,4,1.3,2,0,0,0,0,1,0,60-69,San Francisco,CA
113,40,15,82,91775,3,1.0,1,309,0,0,0,0,0,40-49,San Gabriel,CA
114,58,34,92,92703,2,2.8,1,103,0,0,0,0,0,50-59,Santa Ana,CA
115,39,14,39,92354,3,0.5,3,0,0,0,0,1,0,30-39,Loma Linda,CA
116,65,40,81,92024,3,1.8,2,0,0,0,0,1,0,60-69,Encinitas,CA
117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0,50-59,Fullerton,CA
118,58,33,61,92833,2,2.3,3,193,0,0,0,1,0,50-59,Fullerton,CA
119,41,16,73,92647,3,3.0,1,0,0,0,0,1,0,40-49,Huntington Beach,CA
120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0,30-39,Palo Alto,CA
121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0,50-59,Los Angeles,CA
122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0,50-59,Claremont,CA
123,58,32,73,94523,2,0.7,2,0,0,0,0,1,1,50-59,Pleasant Hill,CA
124,37,13,84,92130,1,3.6,2,0,0,1,0,0,0,30-39,San Diego,CA
125,39,15,78,92121,4,2.4,1,118,0,0,0,1,0,30-39,San Diego,CA
126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0,60-69,Agoura Hills,CA
127,31,5,115,92096,2,1.3,1,101,0,0,0,1,1,30-39,San Marcos,CA
128,34,8,82,92646,1,2.7,2,251,0,0,0,1,0,30-39,Huntington Beach,CA
129,38,14,74,92182,2,0.0,1,0,0,1,0,1,0,30-39,San Diego,CA
130,41,16,70,92131,3,0.5,3,0,0,0,0,0,1,40-49,San Diego,CA
131,28,4,81,94801,3,1.5,1,276,0,0,0,1,0,20-29,Richmond,CA
132,58,34,149,93720,4,7.2,2,0,1,0,1,1,1,50-59,Fresno,CA
133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0,30-39,Long Beach,CA
134,30,4,39,90245,3,1.1,2,0,0,0,0,1,0,30-39,El Segundo,CA
135,53,29,98,95035,3,1.8,2,0,0,0,0,0,0,50-59,Milpitas,CA
136,58,33,45,93010,4,2.1,1,0,0,0,0,1,1,50-59,Camarillo,CA
137,59,32,49,95035,4,2.5,2,0,0,0,0,1,0,50-59,Milpitas,CA
138,49,25,128,95054,2,0.4,1,0,0,0,0,0,0,40-49,Santa Clara,CA
139,59,34,42,94928,3,1.5,1,0,0,1,1,0,1,50-59,Rohnert Park,CA
140,59,35,18,93305,1,1.2,3,0,0,0,0,1,0,50-59,Bakersfield,CA
141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1,50-59,El Segundo,CA
142,35,11,58,95831,3,2.0,1,149,0,0,0,1,1,30-39,Sacramento,CA
143,33,9,48,91770,1,2.1,3,0,0,0,0,0,1,30-39,Rosemead,CA
144,25,1,54,94117,4,1.6,1,0,0,0,0,1,1,20-29,San Francisco,CA
145,49,23,70,92093,2,1.5,2,0,0,0,0,0,0,40-49,La Jolla,CA
146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1,50-59,Los Angeles,CA
147,46,19,84,94102,1,2.67,2,0,0,0,0,1,1,40-49,San Francisco,CA
148,50,25,83,94542,4,3.6,3,188,0,0,0,1,0,50-59,Hayward,CA
149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0,50-59,Sherman Oaks,CA
150,48,22,42,93955,3,2.2,2,0,0,0,0,0,0,40-49,Seaside,CA
151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1,40-49,San Francisco,CA
152,26,0,132,92834,3,6.5,3,0,1,0,0,0,1,20-29,Fullerton,CA
153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1,50-59,Goleta,CA
154,60,36,22,94551,2,1.0,1,0,0,1,1,1,1,60-69,Livermore,CA
155,54,29,58,92612,4,1.3,3,0,0,0,0,0,0,50-59,Irvine,CA
156,24,0,60,94596,4,1.6,1,0,0,0,0,1,0,20-29,Walnut Creek,CA
157,26,0,15,92131,4,0.4,1,0,0,0,0,0,1,20-29,San Diego,CA
158,41,17,83,94025,4,2.67,1,0,0,0,0,1,1,40-49,Menlo Park,CA
159,32,6,79,94720,2,1.5,3,0,0,0,0,1,1,30-39,Berkeley,CA
160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0,60-69,Hayward,CA
161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0,20-29,Sacramento,CA
162,61,35,80,95053,2,2.8,1,0,0,0,0,1,0,60-69,Santa Clara,CA
163,38,12,52,90036,1,2.0,1,0,0,0,0,0,0,30-39,Los Angeles,CA
164,28,4,70,91125,4,2.6,1,0,0,0,0,1,0,20-29,Pasadena,CA
165,53,27,92,95120,2,1.1,1,0,0,1,0,0,0,50-59,San Jose,CA
166,27,1,43,94706,1,1.5,1,0,0,0,0,1,0,20-29,Albany,CA
167,25,1,21,95827,3,1.0,2,0,0,0,0,0,0,20-29,Sacramento,CA
168,33,9,23,94305,3,0.9,3,0,0,0,0,1,1,30-39,Stanford,CA
169,50,26,13,91320,4,1.0,1,0,0,0,0,1,0,50-59,Newbury Park,CA
170,27,1,112,90503,4,2.1,3,0,0,0,0,0,1,20-29,Torrance,CA
171,27,1,138,90250,2,2.0,1,0,0,0,0,1,0,20-29,Hawthorne,CA
172,52,28,11,95817,3,0.4,1,0,0,1,0,0,0,50-59,Sacramento,CA
173,38,13,171,92717,2,7.8,1,0,0,0,0,1,0,30-39,Unknown City,Unknown State
174,58,34,42,90095,4,1.5,1,0,0,0,0,1,1,50-59,Los Angeles,CA
175,42,17,168,95503,2,7.9,2,0,1,0,0,1,0,40-49,Eureka,CA
176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0,40-49,Claremont,CA
177,52,25,44,93111,3,1.0,2,135,0,0,0,1,0,50-59,Santa Barbara,CA
178,29,3,65,94132,4,1.8,2,244,0,0,0,0,0,20-29,San Francisco,CA
179,53,29,24,95818,4,0.2,1,0,0,0,0,1,1,50-59,Sacramento,CA
180,62,37,11,91942,1,0.1,1,0,0,0,0,1,0,60-69,La Mesa,CA
181,51,27,38,90401,2,1.0,3,164,0,0,0,1,0,50-59,Santa Monica,CA
182,36,12,10,93524,4,0.7,2,81,0,0,0,0,0,30-39,Edwards,CA
183,24,0,135,95133,1,1.5,1,0,0,0,0,1,0,20-29,San Jose,CA
184,29,3,148,92173,3,4.1,1,0,1,0,0,1,0,20-29,San Ysidro,CA
185,52,26,63,92717,2,1.5,2,0,0,1,0,1,0,50-59,Unknown City,Unknown State
186,39,14,115,91320,1,1.0,3,0,0,0,0,1,0,30-39,Newbury Park,CA
187,48,23,45,95616,1,0.3,1,0,0,0,0,1,1,40-49,Davis,CA
188,46,21,159,94305,3,1.9,3,315,1,0,0,1,0,40-49,Stanford,CA
189,64,40,169,91320,2,2.1,1,122,0,0,0,1,0,60-69,Newbury Park,CA
190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0,50-59,Mountain View,CA
191,60,36,93,92521,1,4.3,1,0,0,0,0,1,0,60-69,Riverside,CA
192,51,25,29,90404,1,0.3,3,140,0,0,0,0,0,50-59,Santa Monica,CA
193,50,23,85,92122,1,2.67,2,0,0,0,0,1,0,50-59,San Diego,CA
194,48,24,21,93118,4,0.6,1,0,0,0,0,1,1,40-49,Goleta,CA
195,53,29,144,92697,2,6.8,1,0,0,0,0,1,0,50-59,Irvine,CA
196,34,10,13,94577,4,1.0,1,95,0,1,0,1,0,30-39,San Leandro,CA
197,48,24,165,93407,1,5.0,1,0,0,0,0,0,1,40-49,San Luis Obispo,CA
198,55,31,9,91345,4,0.7,1,89,0,0,0,1,0,50-59,Mission Hills,CA
199,27,3,59,94123,4,0.0,1,90,0,1,0,1,0,20-29,San Francisco,CA
200,36,11,158,92152,1,5.1,3,0,1,0,1,1,1,30-39,San Diego,CA
201,32,6,29,91355,1,1.9,3,0,0,0,0,1,1,30-39,Valencia,CA
202,35,9,20,94609,2,1.4,3,0,0,0,0,1,1,30-39,Oakland,CA
203,30,3,68,94306,4,2.0,2,0,0,0,0,1,0,30-39,Palo Alto,CA
204,58,34,65,95747,4,2.2,1,0,0,0,0,1,0,50-59,Roseville,CA
205,56,31,61,96150,2,1.9,2,105,0,0,0,0,0,50-59,South Lake Tahoe,CA
206,38,12,91,95616,4,1.4,2,100,0,0,0,0,1,30-39,Davis,CA
207,49,25,31,91355,1,1.0,1,0,0,1,0,1,0,40-49,Valencia,CA
208,34,10,71,94115,4,0.1,2,0,0,0,0,0,0,30-39,San Francisco,CA
209,40,16,73,94110,4,2.67,1,0,0,0,0,1,1,40-49,San Francisco,CA
210,64,39,172,94707,4,3.1,1,282,1,0,1,1,1,60-69,Berkeley,CA
211,51,26,20,92131,2,0.0,1,0,0,0,0,0,0,50-59,San Diego,CA
212,44,18,55,94720,1,0.2,1,0,0,0,0,0,0,40-49,Berkeley,CA
213,46,22,69,91604,2,1.7,1,209,0,0,0,0,0,40-49,Studio City,CA
214,57,33,155,91326,1,7.4,1,0,0,0,0,1,0,50-59,Porter Ranch,CA
215,54,28,94,90291,1,1.9,2,0,0,0,0,0,0,50-59,Venice,CA
216,38,14,92,95818,2,0.0,1,249,0,0,0,1,1,30-39,Sacramento,CA
217,27,3,125,95521,2,0.6,1,0,0,0,0,0,0,20-29,Arcata,CA
218,39,14,74,94305,3,3.0,1,0,0,0,0,0,0,30-39,Stanford,CA
219,44,20,72,92807,3,0.3,3,0,0,0,0,1,0,40-49,Anaheim,CA
220,56,30,61,94707,1,2.2,3,0,0,0,0,1,1,50-59,Berkeley,CA
221,32,6,25,92130,2,0.3,1,0,0,0,0,0,1,30-39,San Diego,CA
222,45,19,83,95051,2,1.7,2,0,0,0,0,1,0,40-49,Santa Clara,CA
223,26,2,104,94306,3,2.5,1,0,0,0,0,0,0,20-29,Palo Alto,CA
224,55,25,41,95014,3,1.0,3,0,0,0,0,1,0,50-59,Cupertino,CA
225,52,27,58,94305,4,1.8,3,91,0,0,0,0,0,50-59,Stanford,CA
226,39,13,93,94720,1,1.5,3,0,0,0,0,0,1,30-39,Berkeley,CA
227,24,2,39,94085,2,1.7,2,0,0,0,0,0,0,20-29,Sunnyvale,CA
228,47,23,148,94551,2,7.5,1,0,0,0,1,1,1,40-49,Livermore,CA
229,47,22,53,92677,4,1.9,3,98,0,1,1,0,1,40-49,Laguna Niguel,CA
230,48,24,71,93117,2,1.7,1,145,0,0,0,0,1,40-49,Goleta,CA
231,47,22,92,94720,1,2.8,2,0,0,0,0,1,0,40-49,Berkeley,CA
232,35,10,61,94304,4,2.1,3,0,0,0,0,1,0,30-39,Palo Alto,CA
233,46,19,38,94122,3,2.5,2,135,0,0,0,0,0,40-49,San Francisco,CA
234,62,37,58,91320,4,1.7,1,0,0,0,0,1,0,60-69,Newbury Park,CA
235,26,1,80,95616,1,0.8,2,150,0,0,0,0,0,20-29,Davis,CA
236,38,8,71,94720,4,1.8,3,0,0,0,0,1,0,30-39,Berkeley,CA
237,43,18,89,93407,3,0.5,3,0,0,0,0,1,1,40-49,San Luis Obispo,CA
238,62,38,83,92521,1,1.8,3,0,0,0,0,1,0,60-69,Riverside,CA
239,57,32,28,95831,3,0.2,1,0,0,0,0,1,1,50-59,Sacramento,CA
240,28,3,52,94112,4,1.7,2,0,0,0,0,0,0,20-29,San Francisco,CA
241,51,26,70,90089,1,1.2,1,169,0,0,0,0,0,50-59,Los Angeles,CA
242,48,22,71,91711,1,1.4,3,0,0,0,0,0,1,40-49,Claremont,CA
243,41,16,75,94005,1,3.7,3,280,0,0,0,0,0,40-49,Brisbane,CA
244,65,39,170,90095,3,7.9,3,99,1,0,1,1,0,60-69,Los Angeles,CA
245,41,17,78,94025,4,0.8,1,78,0,0,0,1,0,40-49,Menlo Park,CA
246,35,11,25,92614,2,1.0,2,0,0,0,0,0,0,30-39,Irvine,CA
247,38,14,60,94025,2,0.6,3,0,0,0,0,1,1,30-39,Menlo Park,CA
248,53,29,120,92626,4,2.7,2,111,1,1,1,1,0,50-59,Costa Mesa,CA
249,55,29,99,92121,2,1.4,1,264,0,0,0,1,1,50-59,San Diego,CA
250,26,1,55,90089,3,2.6,3,113,0,0,0,0,1,20-29,Los Angeles,CA
251,30,6,29,94305,3,1.0,2,117,0,0,0,0,0,30-39,Stanford,CA
252,54,28,170,92182,2,6.2,2,325,1,0,0,1,0,50-59,San Diego,CA
253,65,40,53,91711,3,2.2,1,0,0,0,0,0,1,60-69,Claremont,CA
254,47,21,138,94583,1,0.0,1,0,0,0,0,0,0,40-49,San Ramon,CA
255,65,41,134,91942,3,3.9,3,121,1,0,0,1,0,60-69,La Mesa,CA
256,66,40,42,92103,2,0.7,3,138,0,0,0,0,1,60-69,San Diego,CA
257,26,0,99,92697,4,2.3,3,0,0,0,0,0,1,20-29,Irvine,CA
258,66,41,18,92691,3,0.5,1,0,0,0,0,0,1,60-69,Mission Viejo,CA
259,35,9,24,95747,4,0.3,1,0,0,0,0,1,0,30-39,Roseville,CA
260,56,30,55,94107,1,1.4,1,77,0,0,0,1,0,50-59,San Francisco,CA
261,51,27,58,92407,1,0.0,1,0,0,0,0,0,1,50-59,San Bernardino,CA
262,42,16,111,93106,2,1.2,3,251,1,0,0,1,0,40-49,Santa Barbara,CA
263,49,23,33,90245,1,0.3,3,0,0,0,1,1,1,40-49,El Segundo,CA
264,27,1,74,92121,4,1.8,2,112,0,0,0,1,1,20-29,San Diego,CA
265,45,19,38,90840,2,0.7,1,0,0,0,0,0,0,40-49,Long Beach,CA
266,49,23,23,94305,4,0.6,3,98,0,1,0,0,0,40-49,Stanford,CA
267,63,38,61,94720,2,1.5,1,0,0,0,0,1,0,60-69,Berkeley,CA
268,47,22,81,90504,1,2.9,1,138,0,0,0,0,0,40-49,Torrance,CA
269,64,39,129,94002,1,2.5,1,0,0,0,0,1,0,60-69,Belmont,CA
270,43,13,33,95039,1,0.75,3,0,0,0,0,0,0,40-49,Moss Landing,CA
271,60,36,63,94063,4,2.2,1,0,0,0,0,1,0,60-69,Redwood City,CA
272,40,14,70,94923,4,1.4,2,0,0,0,0,1,0,40-49,Bodega Bay,CA
273,29,3,45,95023,4,0.2,1,158,0,0,0,1,1,20-29,Hollister,CA
274,41,16,65,90095,3,0.5,3,0,0,0,0,1,0,40-49,Los Angeles,CA
275,30,5,74,95616,4,2.2,1,0,0,1,0,0,1,30-39,Davis,CA
276,49,24,50,94706,4,1.8,3,0,0,1,0,0,0,40-49,Albany,CA
277,30,5,22,90058,4,0.5,3,109,0,0,0,1,0,30-39,Los Angeles,CA
278,29,2,30,92126,4,1.0,3,0,0,0,0,0,0,20-29,San Diego,CA
279,50,26,21,91125,4,1.0,1,0,0,0,0,1,0,50-59,Pasadena,CA
280,39,14,155,94577,2,3.9,1,0,0,0,0,1,0,30-39,San Leandro,CA
281,33,8,64,92121,4,2.1,3,164,0,0,0,1,0,30-39,San Diego,CA
282,57,31,65,94118,4,2.6,3,0,0,0,0,0,1,50-59,San Francisco,CA
283,34,9,71,91711,4,0.7,3,0,0,0,0,1,0,30-39,Claremont,CA
284,61,36,40,90029,3,0.5,2,0,0,1,0,1,0,60-69,Los Angeles,CA
285,44,19,69,92806,3,0.5,3,0,0,0,0,1,0,40-49,Anaheim,CA
286,40,13,69,94305,3,2.33,2,0,0,0,0,0,0,40-49,Stanford,CA
287,51,25,45,94806,3,0.6,2,131,0,0,0,1,0,50-59,San Pablo,CA
288,37,12,62,92110,3,0.7,2,0,0,0,0,0,1,30-39,San Diego,CA
289,44,19,172,94306,2,4.3,3,391,1,1,1,1,0,40-49,Palo Alto,CA
290,42,15,24,92121,3,1.0,2,0,0,0,0,1,1,40-49,San Diego,CA
291,51,25,80,92373,1,4.9,1,0,0,0,0,0,0,50-59,Redlands,CA
292,43,16,8,90089,3,0.67,2,88,0,0,0,1,0,40-49,Los Angeles,CA
293,30,5,38,94542,4,0.8,1,129,0,0,0,1,1,30-39,Hayward,CA
294,45,19,93,90095,4,2.6,3,0,0,0,0,0,0,40-49,Los Angeles,CA
295,35,9,55,94536,1,2.0,1,0,0,0,0,1,0,30-39,Fremont,CA
296,60,34,64,94304,2,1.7,3,0,0,0,0,0,1,60-69,Palo Alto,CA
297,34,9,122,90623,1,0.0,1,0,0,0,0,1,0,30-39,La Palma,CA
298,55,25,70,93720,3,1.4,3,0,0,0,0,1,0,50-59,Fresno,CA
299,43,19,81,92069,2,3.2,1,0,0,0,0,0,0,40-49,San Marcos,CA
300,41,15,159,90057,1,5.5,3,0,1,0,1,1,0,40-49,Los Angeles,CA
301,34,9,70,92843,4,1.3,1,0,0,1,0,0,0,30-39,Garden Grove,CA
302,65,39,150,92120,2,6.9,1,196,0,0,0,0,0,60-69,San Diego,CA
303,45,21,152,94550,2,7.5,1,0,0,0,0,1,0,40-49,Livermore,CA
304,49,25,195,95605,4,3.0,1,617,1,0,0,0,0,40-49,West Sacramento,CA
305,48,23,22,90740,1,0.1,1,0,0,0,0,0,0,40-49,Seal Beach,CA
306,60,35,22,91207,1,1.3,1,123,0,0,0,1,0,60-69,Glendale,CA
307,55,29,79,92373,3,0.8,1,0,0,0,0,1,1,50-59,Redlands,CA
308,42,18,33,90401,1,1.4,3,0,0,0,0,1,0,40-49,Santa Monica,CA
309,32,8,128,94720,2,4.33,1,0,0,0,1,1,1,30-39,Berkeley,CA
310,62,38,91,95929,1,3.8,1,0,0,1,0,1,0,60-69,Chico,CA
311,57,32,39,90277,4,0.9,1,0,0,0,0,1,1,50-59,Redondo Beach,CA
312,52,26,121,94550,1,7.3,1,167,0,0,0,1,0,50-59,Livermore,CA
313,36,6,21,91741,1,0.67,3,0,0,1,0,1,0,30-39,Glendora,CA
